date,text,Pump,Exchange,Coin,Notes
2020-08-10T03:43:40,"[{'type': 'hashtag', 'text': '#ftm'}, ' result \n2nd target achieved within 3 hour ✅✅\n\n', {'type': 'bold', 'text': 'One more quick profit 19%💰'}, '💰🤑🤑\n\nAmazing calls by our team 👍\nPremium members really earning huge profit 👑💰💰🤑\n\n☎️ Contact  ', {'type': 'mention', 'text': '@NathanJensen'}, ' for premium membership and earn huge with us']",,,,
2020-08-10T03:43:58,"[{'type': 'hashtag', 'text': '#ftm'}, ' proof 👆\nCompare time according to my timezone in both screenshot']",,,,
2020-08-10T03:44:11,,,,,
2020-08-10T03:44:20,"[{'type': 'bold', 'text': ""Again reminding you, don't miss out 👇\n\nFew more quick profit signals just added in premium channel which gives you easy 10-20% profit within 24 hour 👇👇\n\nChoice is yours 👍\n\n☎ Contact ""}, {'type': 'mention', 'text': '@NathanJensen'}, '']",,,,
2020-08-10T03:44:33,,,,,
2020-08-10T03:44:57,"[{'type': 'hashtag', 'text': '#NULS'}, ' hit 6400🎯\nNow 2nd target achieved within 3 days✅✅\n\n', {'type': 'bold', 'text': 'One more profit 20%💰💰🤑🤑'}, '\n\n☎️ Contact  ', {'type': 'mention', 'text': '@NathanJensen'}, ' for premium membership and earn daily profit']",,,,
2020-08-10T03:45:07,,,,,
2020-08-10T03:45:18,"[{'type': 'italic', 'text': 'You missed one more profit 😢\n\n😂🙈\nHere is one more profit for premium members within 5 days 💰👇'}, '']",,,,
2020-08-10T03:45:26,"[{'type': 'hashtag', 'text': '#OAX'}, ' rebuy\nBuy zone 534-550\nSell zone 572-601-658-744+']",,,,
2020-08-10T03:45:29,"[{'type': 'hashtag', 'text': '#OAX'}, ' hit 868✅✅✅✅']",,,,
2020-08-10T03:46:05,Earlier 2nd target achieved within 2 days👆,,,,
2020-08-10T03:46:53,"[{'type': 'hashtag', 'text': '#OAX'}, ' result update \nAll targets achieved within 5 days✅✅✅✅\n\n', {'type': 'bold', 'text': 'Huge profit 62%💰💰'}, '🤑🤑\n\nCongrats premium members 🎊👑\n\n☎️ Contact  ', {'type': 'mention', 'text': '@NathanJensen'}, '  for premium membership and earn huge with us']",,,,
2020-08-10T03:47:09,"[{'type': 'hashtag', 'text': '#oax'}, ' proof 👆\nCompare time according to my timezone in both screenshot']",,,,
2020-08-10T03:47:41,,,,,
2020-08-10T03:47:53,"[{'type': 'italic', 'text': 'You missed one more profit 😢\n\n😂🙈\nHere is one more profit for premium members within 12 hour  💰👇'}, '']",,,,
2020-08-10T03:48:01,"[{'type': 'hashtag', 'text': '#QSP'}, '\nBuy zone 253-263\nSell zone 275-290-310-330+']",,,,
2020-08-10T03:48:04,"[{'type': 'hashtag', 'text': '#QSP'}, ' hit 275✅']",,,,
2020-08-10T03:48:37,"[{'type': 'hashtag', 'text': '#qsp'}, ' result \n1at target achieved within 11 hour ✅\n\n', {'type': 'bold', 'text': 'One more quick profit 8%💰💰'}, '🤑\n\n👉 More quick profit signals available in premium channel. Hurry up 🏃\u200d♂👇\n\n☎️ Contact ', {'type': 'mention', 'text': '@NathanJensen'}, ' premium membership']",,,,
2020-08-10T03:49:05,"[{'type': 'hashtag', 'text': '#qsp'}, ' proof 👆\nCompare time according to my timezone in both screenshot']",,,,
2020-08-10T03:49:13,,,,,
2020-08-10T03:49:26,"[{'type': 'italic', 'text': 'You missed one more profit 😢\n\n😂🙈\nHere is one more profit for premium members within 11 hour  💰👇'}, '']",,,,
2020-08-10T03:49:35,"[{'type': 'hashtag', 'text': '#LRC'}, '\nBuy zone 930-960\nSell zone 1030-1090-1180-1350+']",,,,
2020-08-10T03:49:38,"[{'type': 'hashtag', 'text': '#LRC'}, ' hit 1135✅✅']",,,,
2020-08-10T03:50:08,"[{'type': 'hashtag', 'text': '#LRC'}, ' result \n2nd target achieved within 11 hour ✅✅\n\n', {'type': 'bold', 'text': 'One more huge quick profit 21%💰'}, '💰🤑\n\nAmazing calls by our team 👍\nPremium members earning daily quick profit 💰💰🤑\n\n☎️ Contact ', {'type': 'mention', 'text': '@NathanJensen'}, ' for premium membership and earn huge with us']",,,,
2020-08-10T03:50:25,"[{'type': 'hashtag', 'text': '#lrc'}, ' proof 👆\nCompare time according to my timezone in both screenshot']",,,,
2020-08-10T03:50:32,,,,,
2020-08-10T03:50:54,"[{'type': 'bold', 'text': '🔥🔥 Last 24 hour Profit results 🚀🚀'}, '\n\n✅ ', {'type': 'hashtag', 'text': '#FTM'}, ' rebuy 31% within 22 hour  \n✅ ', {'type': 'hashtag', 'text': '#LRC'}, ' 21% within 11 hour  \n✅ ', {'type': 'hashtag', 'text': '#QSP'}, ' 8% within 11 hour\n✅ ', {'type': 'hashtag', 'text': '#OAX'}, ' 62% within 5 days \n✅ ', {'type': 'hashtag', 'text': '#NULS'}, ' 20% within 3 days\n✅ ', {'type': 'hashtag', 'text': '#ONE'}, ' 18% within 18.5 hour \n✅ ', {'type': 'hashtag', 'text': '#CELR'}, ' 14% within 18 hour\n✅ ', {'type': 'hashtag', 'text': '#OST'}, ' 8% within 16 hour \n\n', {'type': 'bold', 'text': 'Total profit 182%💰💰🤑\n\n👉 As you can see, you will earn back fees within 1 day. Still thinking and losing daily profit?\n\n☎ Contact '}, {'type': 'mention', 'text': '@NathanJensen'}, '']",,,,
2020-08-10T03:51:03,,,,,
2020-08-10T03:51:16,"[{'type': 'bold', 'text': '🚨15 minutes left to pump on binance 🚨 \n\n👉 To know coin name earlier join premium and recover your losses👇\n\n☎ Contact '}, {'type': 'mention', 'text': '@NathanJensen'}, '']",,,,
2020-08-10T03:51:26,"['Pump coin name ', {'type': 'hashtag', 'text': '#gvt'}]",,,,
2020-08-10T03:51:34,"[{'type': 'bold', 'text': '%20 PROFIT !!!  WOOW GOOD PUMP !!!'}]",,,,
2020-08-10T03:52:05,"[{'type': 'hashtag', 'text': '#GVT'}, ' result \n2nd target achieved in just 21 minutes ✅✅\n\n', {'type': 'bold', 'text': 'One more very quick profit 19%💰'}, '💰🤑\n\nAmazing calls by our team 👍\n\nTo know next pump coin name 🚀👇\n\n☎️ Contact ', {'type': 'mention', 'text': '@NathanJensen'}, '']",,,,
2020-08-10T03:52:20,"[{'type': 'hashtag', 'text': '#gvt'}, ' proof 👆\nCompare time according to my timezone in both screenshot']",,,,
2020-08-10T03:52:28,,,,,
2020-08-10T03:52:40,"[{'type': 'italic', 'text': 'You missed one more profit 😢\n\n😂🙈\nHere is one more profit for premium members within 2 days   💰👇'}, '']",,,,
2020-08-10T03:52:50,"[{'type': 'hashtag', 'text': '#DOCK'}, '\nBuy zone 72-74\nSell zone ', {'type': 'phone', 'text': '78-82-88-95'}, '+']",,,,
2020-08-10T03:52:52,"[{'type': 'hashtag', 'text': '#dock'}, ' hit 102✅✅✅✅']",,,,
2020-08-10T03:53:21,"[{'type': 'hashtag', 'text': '#dock'}, ' result update \nFinally all targets achieved within 2 days✅✅✅✅\n\n', {'type': 'bold', 'text': 'One more huge profit 32%'}, '💰💰🤑🤑\n\nTo know next pump coin name 🚀👇\n\n☎️ Contact ', {'type': 'mention', 'text': '@NathanJensen'}, ' premium membership']",,,,
2020-08-10T03:53:41,"[{'type': 'hashtag', 'text': '#dock'}, ' proof 👆\nCompare time according to my timezone in both screenshot']",,,,
2020-08-10T03:54:34,"[{'type': 'hashtag', 'text': '#dock'}, ' 2nd target achieved earlier within 2 hour 👆\n\n', {'type': 'bold', 'text': 'We posted dock price still 83 in public channel'}, '']",,,,
2020-08-10T03:54:56,,,,,
2020-08-10T03:55:48,"[{'type': 'italic', 'text': 'You missed one more profit 😢\n\n😂🙈\nHere is one more profit for premium members within 34 hour 💰👇'}, '']",,,,
2020-08-10T03:56:00,"[{'type': 'hashtag', 'text': '#QTUM'}, '\nBuy zone 1780-1835\nSell zone 1900-1990-2150-2350+\n\nLeverage 5x']",,,,
2020-08-10T03:56:02,"[{'type': 'hashtag', 'text': '#QTUM'}, ' hit 1964✅']",,,,
2020-08-10T03:56:33,"[{'type': 'hashtag', 'text': '#QTUM'}, ' result \n1st target achieved within 34 hour ✅\n\n', {'type': 'bold', 'text': 'Huge quick profit 36% using 5x leverage 💰💰'}, '🤑🤑\n\nAmazing calls by  our team 👍\nCongrats premium members 🎊👑\n\n☎️ Contact ', {'type': 'mention', 'text': '@NathanJensen'}, ' for premium membership and earn huge profit']",,,,
2020-08-10T03:56:48,"[{'type': 'hashtag', 'text': '#qtum'}, ' proof 👆\nCompare time according to my timezone in both screenshot']",,,,
2020-08-10T03:56:56,,,,,
2020-08-10T03:57:08,"[{'type': 'italic', 'text': 'You missed one more profit 😢\n\n😂🙈\nHere is one more profit for premium members within 3 days  💰👇'}, '']",,,,
2020-08-10T03:57:20,"[{'type': 'hashtag', 'text': '#QKC'}, '\nBuy zone 71-75\nSell zone ', {'type': 'phone', 'text': '79-84-89-96'}, '+']",,,,
2020-08-10T03:57:23,"[{'type': 'hashtag', 'text': '#qkc'}, ' hit 80✅']",,,,
2020-08-10T03:57:50,"[{'type': 'hashtag', 'text': '#qkc'}, ' result \n1st target achieved within 3 days✅\n\n', {'type': 'bold', 'text': 'One more profit 13%💰💰🤑'}, '\n\n👉 Join premium and grab all quick profit signals and earn daily profit 💰🤑👇\n\n☎️ Contact  ', {'type': 'mention', 'text': '@NathanJensen'}, '']",,,,
2020-08-10T03:58:06,"[{'type': 'hashtag', 'text': '#qkc'}, ' proof 👆\nCompare time according to my timezone in both screenshot']",,,,
2020-08-10T03:58:15,,,,,
