date,text,Pump,Exchange,Coin,Notes
2019-12-03T17:48:00,"You missed one more profit 😢

😂🙈
Here is one more quick profit for premium members within 24 hour💰🤑👇",,,,
2019-12-03T17:48:05,"[{'type': 'hashtag', 'text': '#LUN'}, '\nBuy zone ', {'type': 'phone', 'text': '1300-1340'}, '\nSell zone 1450-1540-1680-1950+']",,,,
2019-12-03T17:48:30,"[{'type': 'hashtag', 'text': '#lun'}, ' result \n2nd target achieved within 24 hour✅\n\nOne more quick profit 18%💰💰\n\n☎️ Contact ', {'type': 'mention', 'text': '@StephenAndPump'}, '']",,,,
2019-12-03T17:48:50,"[{'type': 'hashtag', 'text': '#lun'}, ' proof 👆\nCompare time according to my timezone in both screenshot']",,,,
2019-12-03T17:48:54,,,,,
2019-12-03T17:49:24,"['Breakout Coin : ', {'type': 'hashtag', 'text': '#rdn'}]",,,,
2019-12-03T17:49:34,Quick 10% profit for VIP members,,,,
2019-12-03T17:49:41,,,,,
2019-12-03T17:49:59,"You missed one more profit 😢

😂🙈
Here is one more quick profit for premium members within 17 hour 💰🤑👇",,,,
2019-12-03T17:50:05,"[{'type': 'hashtag', 'text': '#REQ'}, ' \nBuy zone 170-176 \nSell zone 190-200-230-260-350+']",,,,
2019-12-03T17:50:41,"[{'type': 'hashtag', 'text': '#req'}, ' result \n2nd target achieved within 17 hour✅✅\n\nOne more huge quick profit 26%💰💰💰\n\n☎️ Contact ', {'type': 'mention', 'text': '@StephenAndPump'}, '']",,,,
2019-12-03T17:51:04,"[{'type': 'hashtag', 'text': '#req'}, ' proof 👆\nCompare time according to my timezone in both screenshot']",,,,
2019-12-03T17:51:06,,,,,
2019-12-03T17:52:01,"['🔥🔥 Last 12 hour Profit results 🚀🚀\n\n✅ ', {'type': 'hashtag', 'text': '#data'}, ' 1054% within 34 hour(breakout signal)\n✅ ', {'type': 'hashtag', 'text': '#nav'}, ' rebuy 33% within 4 minutes\n✅ ', {'type': 'hashtag', 'text': '#nav'}, ' 185% within few days\n✅ ', {'type': 'hashtag', 'text': '#snm'}, ' 75% within few days\n✅ ', {'type': 'hashtag', 'text': '#dnt'}, ' 61% within few days\n✅ ', {'type': 'hashtag', 'text': '#ost'}, ' 14% within 9 minutes\n✅ ', {'type': 'hashtag', 'text': '#cnd'}, ' rebuy 11% within 3 minutes\n✅ ', {'type': 'hashtag', 'text': '#cnd'}, ' 51% within few days\n✅ ', {'type': 'hashtag', 'text': '#vib'}, ' 10% within 2 minutes(free signal)\n✅ ', {'type': 'hashtag', 'text': '#dlt'}, ' 30% within 2.5 hour\n✅ ', {'type': 'hashtag', 'text': '#bcpt'}, ' 14% within 3.5 hour\n\n👉 All results shared above with screenshot. You can scroll up and check\n\nWill any other group give this much return? NO❗\n\nThen what you are waiting for?🤔\n\nYou could earn premium fees within a day💰💰\n\n☎ Contact ', {'type': 'mention', 'text': '@StephenAndPump'}, '']",,,,
2019-12-03T17:52:07,,,,,
2019-12-03T17:52:39,"[""Again reminding you, don't miss out 👇\n\nFew more quick profit signals just added in premium channel which gives you easy 10-20% profit within 24 hour 👇👇\n\nChoice is yours 👍\n\n☎ Contact "", {'type': 'mention', 'text': '@StephenAndPump'}, '']",,,,
2019-12-03T17:52:44,,,,,
2019-12-03T17:53:20,"[{'type': 'hashtag', 'text': '#data'}, ' 🚀🚀🤑🤑💰💰\nPrice hit 1755✅✅✅✅']",,,,
